parede_n,Amostra,Quadrante,Valor,D_m,Altura
2,139,8,317.00,35,0.70
2,140,9,0.00,0,0.50
2,140,9,27.80,10,0.50
2,140,9,55.60,15,0.50
2,140,9,78.70,20,0.50
2,140,9,91.60,25,0.50
2,140,9,142.80,30,0.50
2,140,9,205.00,35,0.50
2,141,10,0.00,0,0.50
2,141,10,38.40,10,0.50
2,141,10,61.60,15,0.50
2,141,10,95.30,20,0.50
2,141,10,115.10,25,0.50
2,141,10,146.40,30,0.50
2,141,10,177.80,35,0.50
2,142,11,0.00,0,0.30
2,142,11,35.40,10,0.30
2,142,11,61.50,15,0.30
2,142,11,81.60,20,0.30
2,142,11,228.00,25,0.30
2,142,11,214.00,30,0.30
2,142,11,241.00,35,0.30
2,143,12,0.00,0,0.30
2,143,12,37.60,10,0.30
2,143,12,101.30,15,0.30
2,143,12,149.50,20,0.30
2,143,12,177.50,25,0.30
2,143,12,263.00,30,0.30
2,143,12,224.00,35,0.30
2,144,1,0.00,0,1.30
2,144,1,37.30,10,1.30
2,144,1,83.80,15,1.30
2,144,1,80.30,20,1.30
2,144,1,105.10,25,1.30
2,144,1,157.90,30,1.30
2,144,1,223.00,35,1.30
2,145,3,0.00,0,1.10
2,145,3,37.50,10,1.10
2,145,3,58.90,15,1.10
2,145,3,79.90,20,1.10
2,145,3,98.30,25,1.10
2,145,3,141.60,30,1.10
2,145,3,221.00,35,1.10
2,146,4,0.00,0,1.10
2,146,4,61.10,10,1.10
2,146,4,95.90,15,1.10
2,146,4,124.00,20,1.10
2,146,4,159.90,25,1.10
2,146,4,380.00,30,1.10
2,146,4,735.00,35,1.10
2,147,5,0.00,0,0.90
2,147,5,51.00,10,0.90
2,147,5,75.10,15,0.90
2,147,5,146.90,20,0.90
2,147,5,157.20,25,0.90
2,147,5,176.40,30,0.90
2,147,5,241.00,35,0.90
2,148,6,0.00,0,0.90
2,148,6,36.10,10,0.90
2,148,6,67.50,15,0.90
2,148,6,86.50,20,0.90
2,148,6,120.70,25,0.90
2,148,6,144.30,30,0.90
2,148,6,211.00,35,0.90
2,149,7,0.00,0,0.70
2,149,7,27.70,10,0.70
2,149,7,61.90,15,0.70
2,149,7,93.00,20,0.70
2,149,7,123.50,25,0.70
2,149,7,158.40,30,0.70
2,149,7,202.00,35,0.70
2,150,8,0.00,0,0.70
2,150,8,45.50,10,0.70
2,150,8,57.20,15,0.70
2,150,8,101.10,20,0.70
2,150,8,141.90,25,0.70
2,150,8,243.00,30,0.70
2,150,8,307.00,35,0.70
2,151,9,0.00,0,0.50
2,151,9,28.50,10,0.50
2,151,9,56.00,15,0.50
2,151,9,71.10,20,0.50
2,151,9,93.80,25,0.50
2,151,9,115.20,30,0.50
2,151,9,208.00,35,0.50
2,152,10,0.00,0,0.50
2,152,10,38.30,10,0.50
2,152,10,61.50,15,0.50
2,152,10,96.60,20,0.50
2,152,10,132.80,25,0.50
2,152,10,174.10,30,0.50
2,152,10,210.00,35,0.50
2,153,11,0.00,0,0.30
2,153,11,36.00,10,0.30
2,153,11,61.80,15,0.30
2,153,11,93.70,20,0.30
2,153,11,178.40,25,0.30
2,153,11,191.60,30,0.30
2,153,11,231.00,35,0.30
2,154,12,0.00,0,0.30
2,154,12,33.70,10,0.30
2,154,12,84.80,15,0.30
2,154,12,153.80,20,0.30
2,154,12,153.70,25,0.30
2,154,12,278.00,30,0.30
2,154,12,226.00,35,0.30
2,155,1,0.00,0,1.30
2,155,1,31.30,10,1.30
2,155,1,83.90,15,1.30
2,155,1,87.50,20,1.30
2,155,1,105.00,25,1.30
2,155,1,156.40,30,1.30
2,155,1,231.00,35,1.30
2,156,3,0.00,0,1.10
2,156,3,33.80,10,1.10
2,156,3,56.10,15,1.10
2,156,3,79.00,20,1.10
2,156,3,95.90,25,1.10
2,156,3,125.70,30,1.10
2,156,3,191.10,35,1.10
2,157,4,0.00,0,1.10
2,157,4,60.60,10,1.10
2,157,4,106.80,15,1.10
2,157,4,120.10,20,1.10
2,157,4,156.60,25,1.10
2,157,4,424.00,30,1.10
2,157,4,610.00,35,1.10
2,158,5,0.00,0,0.90
2,158,5,51.00,10,0.90
2,158,5,74.60,15,0.90
2,158,5,144.30,20,0.90
2,158,5,158.50,25,0.90
2,158,5,175.30,30,0.90
2,158,5,227.00,35,0.90
2,159,6,0.00,0,0.90
2,159,6,31.90,10,0.90
2,159,6,67.80,15,0.90
2,159,6,86.50,20,0.90
2,159,6,123.60,25,0.90
2,159,6,143.00,30,0.90
2,159,6,218.00,35,0.90
2,160,7,0.00,0,0.70
2,160,7,19.40,10,0.70
2,160,7,62.00,15,0.70
2,160,7,92.00,20,0.70
2,160,7,122.50,25,0.70
2,160,7,165.60,30,0.70
2,160,7,192.10,35,0.70
2,161,8,0.00,0,0.70
2,161,8,44.50,10,0.70
2,161,8,71.90,15,0.70
2,161,8,105.70,20,0.70
2,161,8,182.30,25,0.70
2,161,8,257.00,30,0.70
2,161,8,313.00,35,0.70
2,162,9,0.00,0,0.50
2,162,9,25.30,10,0.50
2,162,9,57.20,15,0.50
2,162,9,71.10,20,0.50
2,162,9,94.00,25,0.50
2,162,9,116.10,30,0.50
2,162,9,167.80,35,0.50
2,163,10,0.00,0,0.50
2,163,10,38.20,10,0.50
2,163,10,53.60,15,0.50
2,163,10,95.50,20,0.50
2,163,10,115.80,25,0.50
2,163,10,144.10,30,0.50
2,163,10,176.70,35,0.50
2,164,11,0.00,0,0.30
2,164,11,35.20,10,0.30
2,164,11,65.30,15,0.30
2,164,11,87.20,20,0.30
2,164,11,193.30,25,0.30
2,164,11,165.80,30,0.30
2,164,11,233.00,35,0.30
2,165,12,0.00,0,0.30
2,165,12,35.90,10,0.30
2,165,12,65.40,15,0.30
2,165,12,178.80,20,0.30
2,165,12,152.30,25,0.30
2,165,12,206.00,30,0.30
2,165,12,226.00,35,0.30
2,166,1,0.00,0,1.30
2,166,1,42.70,10,1.30
2,166,1,89.10,15,1.30
2,166,1,76.30,20,1.30
2,166,1,103.80,25,1.30
2,166,1,155.80,30,1.30
2,166,1,251.00,35,1.30
2,167,3,0.00,0,1.10
2,167,3,36.40,10,1.10
2,167,3,57.90,15,1.10
2,167,3,80.60,20,1.10
2,167,3,96.50,25,1.10
2,167,3,120.80,30,1.10
2,167,3,241.00,35,1.10
2,168,4,0.00,0,1.10
2,168,4,56.40,10,1.10
2,168,4,103.00,15,1.10
2,168,4,130.00,20,1.10
2,168,4,158.30,25,1.10
2,168,4,664.00,30,1.10
2,168,4,770.00,35,1.10
2,169,5,0.00,0,0.90
2,169,5,60.80,10,0.90
2,169,5,76.90,15,0.90
2,169,5,160.00,20,0.90
2,169,5,174.00,25,0.90
2,169,5,173.50,30,0.90
2,169,5,255.00,35,0.90
2,170,6,0.00,0,0.90
2,170,6,35.60,10,0.90
2,170,6,71.90,15,0.90
2,170,6,87.00,20,0.90
2,170,6,128.60,25,0.90
2,170,6,127.00,30,0.90
2,170,6,162.70,35,0.90
2,171,7,0.00,0,0.70
2,171,7,20.20,10,0.70
2,171,7,62.60,15,0.70
2,171,7,92.80,20,0.70
2,171,7,123.50,25,0.70
2,171,7,173.40,30,0.70
2,171,7,202.00,35,0.70
2,172,8,0.00,0,0.70
2,172,8,57.80,10,0.70
2,172,8,64.70,15,0.70
2,172,8,102.20,20,0.70
2,172,8,140.70,25,0.70
2,172,8,189.70,30,0.70
2,172,8,513.00,35,0.70
2,173,9,0.00,0,0.50
2,173,9,28.80,10,0.50
2,173,9,56.60,15,0.50
2,173,9,70.60,20,0.50
2,173,9,93.60,25,0.50
2,173,9,105.90,30,0.50
2,173,9,167.30,35,0.50
2,174,10,0.00,0,0.50
2,174,10,36.50,10,0.50
2,174,10,61.00,15,0.50
2,174,10,103.50,20,0.50
2,174,10,114.90,25,0.50
2,174,10,159.20,30,0.50
2,174,10,204.00,35,0.50
2,175,11,0.00,0,0.30
2,175,11,36.80,10,0.30
2,175,11,66.30,15,0.30
2,175,11,85.40,20,0.30
2,175,11,144.20,25,0.30
2,175,11,125.00,30,0.30
2,175,11,214.00,35,0.30
2,176,12,0.00,0,0.30
2,176,12,37.10,10,0.30
2,176,12,72.70,15,0.30
2,176,12,116.70,20,0.30
2,176,12,176.50,25,0.30
2,176,12,242.00,30,0.30
2,176,12,228.00,35,0.30
2,177,1,0.00,0,1.30
2,177,1,45.50,10,1.30
2,177,1,83.10,15,1.30
2,177,1,86.00,20,1.30
2,177,1,111.60,25,1.30
2,177,1,162.70,30,1.30
2,177,1,215.00,35,1.30
2,178,3,0.00,0,1.10
2,178,3,32.00,10,1.10
2,178,3,56.00,15,1.10
2,178,3,79.40,20,1.10
2,178,3,93.80,25,1.10
2,178,3,113.10,30,1.10
2,178,3,239.00,35,1.10
2,179,4,0.00,0,1.10
2,179,4,74.50,10,1.10
2,179,4,83.40,15,1.10
2,179,4,123.00,20,1.10
2,179,4,159.80,25,1.10
2,179,4,424.00,30,1.10
2,179,4,617.00,35,1.10
2,180,5,0.00,0,0.90
2,180,5,46.50,10,0.90
2,180,5,73.00,15,0.90
2,180,5,133.00,20,0.90
2,180,5,170.80,25,0.90
2,180,5,188.60,30,0.90
2,180,5,246.00,35,0.90
2,181,6,0.00,0,0.90
2,181,6,35.50,10,0.90
2,181,6,67.20,15,0.90
2,181,6,86.50,20,0.90
2,181,6,112.90,25,0.90
2,181,6,135.90,30,0.90
2,181,6,160.30,35,0.90
2,182,7,0.00,0,0.70
2,182,7,25.40,10,0.70
2,182,7,66.50,15,0.70
2,182,7,79.10,20,0.70
2,182,7,125.50,25,0.70
2,182,7,180.80,30,0.70
2,182,7,201.00,35,0.70
2,183,8,0.00,0,0.70
2,183,8,45.40,10,0.70
2,183,8,63.00,15,0.70
2,183,8,99.10,20,0.70
2,183,8,156.00,25,0.70
2,183,8,152.00,30,0.70
2,183,8,184.00,35,0.70
2,184,9,0.00,0,0.50
2,184,9,30.10,10,0.50
2,184,9,57.00,15,0.50
2,184,9,61.80,20,0.50
2,184,9,85.20,25,0.50
2,184,9,108.20,30,0.50
2,184,9,169.70,35,0.50
2,185,10,0.00,0,0.50
2,185,10,35.80,10,0.50
2,185,10,59.70,15,0.50
2,185,10,93.80,20,0.50
2,185,10,112.40,25,0.50
2,185,10,158.00,30,0.50
2,185,10,175.12,35,0.50
2,186,11,0.00,0,0.30
2,186,11,35.80,10,0.30
2,186,11,65.50,15,0.30
2,186,11,81.10,20,0.30
2,186,11,147.10,25,0.30
2,186,11,155.20,30,0.30
2,186,11,265.00,35,0.30
2,187,12,0.00,0,0.30
2,187,12,21.60,10,0.30
2,187,12,60.80,15,0.30
2,187,12,107.70,20,0.30
2,187,12,153.50,25,0.30
2,187,12,212.00,30,0.30
2,187,12,225.00,35,0.30
2,188,1,0.00,0,1.30
2,188,1,38.10,10,1.30
2,188,1,83.50,15,1.30
2,188,1,85.20,20,1.30
2,188,1,110.50,25,1.30
2,188,1,154.50,30,1.30
2,188,1,227.00,35,1.30
2,189,3,0.00,0,1.10
2,189,3,31.90,10,1.10
2,189,3,56.70,15,1.10
2,189,3,79.50,20,1.10
2,189,3,122.20,25,1.10
2,189,3,138.30,30,1.10
2,189,3,193.50,35,1.10
2,190,4,0.00,0,1.10
2,190,4,61.80,10,1.10
2,190,4,75.30,15,1.10
2,190,4,118.10,20,1.10
2,190,4,152.70,25,1.10
2,190,4,187.00,30,1.10
2,190,4,364.00,35,1.10
2,191,5,0.00,0,0.90
2,191,5,61.00,10,0.90
2,191,5,76.80,15,0.90
2,191,5,155.40,20,0.90
2,191,5,171.80,25,0.90
2,191,5,183.60,30,0.90
2,191,5,247.00,35,0.90
2,192,6,0.00,0,0.90
2,192,6,33.60,10,0.90
2,192,6,67.90,15,0.90
2,192,6,81.20,20,0.90
2,192,6,113.60,25,0.90
2,192,6,142.70,30,0.90
2,192,6,217.00,35,0.90
2,193,7,0.00,0,0.70
2,193,7,30.00,10,0.70
2,193,7,76.50,15,0.70
2,193,7,94.40,20,0.70
2,193,7,126.00,25,0.70
2,193,7,174.50,30,0.70
2,193,7,236.00,35,0.70
2,194,8,0.00,0,0.70
2,194,8,43.80,10,0.70
2,194,8,61.90,15,0.70
2,194,8,95.10,20,0.70
2,194,8,126.40,25,0.70
2,194,8,190.60,30,0.70
2,194,8,327.00,35,0.70
2,195,9,0.00,0,0.50
2,195,9,29.50,10,0.50
2,195,9,50.20,15,0.50
2,195,9,72.50,20,0.50
2,195,9,86.40,25,0.50
2,195,9,114.30,30,0.50
2,195,9,169.80,35,0.50
2,196,10,0.00,0,0.50
2,196,10,35.90,10,0.50
2,196,10,59.60,15,0.50
2,196,10,89.30,20,0.50
2,196,10,115.60,25,0.50
2,196,10,144.70,30,0.50
2,196,10,195.60,35,0.50
2,197,11,0.00,0,0.30
2,197,11,35.20,10,0.30
2,197,11,60.00,15,0.30
2,197,11,82.70,20,0.30
2,197,11,143.30,25,0.30
2,197,11,199.10,30,0.30
2,197,11,268.00,35,0.30
2,198,12,0.00,0,0.30
2,198,12,29.10,10,0.30
2,198,12,63.30,15,0.30
2,198,12,111.80,20,0.30
2,198,12,152.20,25,0.30
2,198,12,203.00,30,0.30
2,198,12,205.00,35,0.30
2,199,1,0.00,0,1.30
2,199,1,48.60,10,1.30
2,199,1,80.70,15,1.30
2,199,1,79.60,20,1.30
2,199,1,115.70,25,1.30
2,199,1,128.90,30,1.30
2,199,1,237.00,35,1.30
2,200,3,0.00,0,1.10
2,200,3,37.10,10,1.10
2,200,3,57.10,15,1.10
2,200,3,78.70,20,1.10
2,200,3,103.90,25,1.10
2,200,3,129.50,30,1.10
2,200,3,245.00,35,1.10
2,201,4,0.00,0,1.10
2,201,4,55.00,10,1.10
2,201,4,80.90,15,1.10
2,201,4,107.60,20,1.10
2,201,4,154.90,25,1.10
2,201,4,181.20,30,1.10
2,201,4,449.00,35,1.10
2,202,5,0.00,0,0.90
2,202,5,49.30,10,0.90
2,202,5,86.10,15,0.90
2,202,5,131.30,20,0.90
2,202,5,171.70,25,0.90
2,202,5,190.70,30,0.90
2,202,5,238.00,35,0.90
2,203,6,0.00,0,0.90
2,203,6,33.70,10,0.90
2,203,6,65.90,15,0.90
2,203,6,85.40,20,0.90
2,203,6,111.50,25,0.90
2,203,6,144.00,30,0.90
2,203,6,158.80,35,0.90
2,204,7,0.00,0,0.70
2,204,7,26.60,10,0.70
2,204,7,60.10,15,0.70
2,204,7,90.80,20,0.70
2,204,7,148.30,25,0.70
2,204,7,207.00,30,0.70
2,204,7,389.00,35,0.70
2,205,8,0.00,0,0.70
2,205,8,40.20,10,0.70
2,205,8,60.70,15,0.70
2,205,8,94.80,20,0.70
2,205,8,122.70,25,0.70
2,205,8,154.10,30,0.70
2,205,8,185.20,35,0.70
2,206,9,0.00,0,0.50
2,206,9,30.50,10,0.50
2,206,9,56.80,15,0.50
2,206,9,62.90,20,0.50
2,206,9,94.60,25,0.50
2,206,9,107.90,30,0.50
2,206,9,170.40,35,0.50
2,207,10,0.00,0,0.50
2,207,10,36.70,10,0.50
2,207,10,58.60,15,0.50
2,207,10,87.30,20,0.50
2,207,10,99.90,25,0.50
2,207,10,141.80,30,0.50
2,207,10,175.60,35,0.50
2,208,11,0.00,0,0.30
2,208,11,34.20,10,0.30
2,208,11,66.70,15,0.30
2,208,11,82.60,20,0.30
2,208,11,191.10,25,0.30
2,208,11,171.50,30,0.30
2,208,11,214.00,35,0.30
2,209,12,0.00,0,0.30
2,209,12,23.80,10,0.30
2,209,12,61.50,15,0.30
2,209,12,97.40,20,0.30
2,209,12,119.00,25,0.30
2,209,12,168.30,30,0.30
2,209,12,219.00,35,0.30
2,210,1,0.00,0,1.30
2,210,1,46.20,10,1.30
2,210,1,80.30,15,1.30
2,210,1,83.00,20,1.30
2,210,1,117.00,25,1.30
2,210,1,154.70,30,1.30
2,210,1,217.00,35,1.30
2,211,3,0.00,0,1.10
2,211,3,36.60,10,1.10
2,211,3,61.80,15,1.10
2,211,3,80.80,20,1.10
2,211,3,106.20,25,1.10
2,211,3,127.10,30,1.10
2,211,3,207.00,35,1.10
2,212,4,0.00,0,1.10
2,212,4,65.00,10,1.10
2,212,4,103.50,15,1.10
2,212,4,122.20,20,1.10
2,212,4,158.70,25,1.10
2,212,4,265.00,30,1.10
2,212,4,344.00,35,1.10
2,213,5,0.00,0,0.90
2,213,5,56.00,10,0.90
2,213,5,73.00,15,0.90
2,213,5,156.10,20,0.90
2,213,5,156.80,25,0.90
2,213,5,192.90,30,0.90
2,213,5,248.00,35,0.90
2,214,6,0.00,0,0.90
2,214,6,34.50,10,0.90
2,214,6,67.10,15,0.90
2,214,6,85.00,20,0.90
2,214,6,112.60,25,0.90
2,214,6,180.50,30,0.90
2,214,6,216.00,35,0.90
2,215,7,0.00,0,0.70
2,215,7,20.60,10,0.70
2,215,7,62.80,15,0.70
2,215,7,79.70,20,0.70
2,215,7,138.30,25,0.70
2,215,7,164.30,30,0.70
2,215,7,199.80,35,0.70
2,216,8,0.00,0,0.70
2,216,8,40.20,10,0.70
2,216,8,59.50,15,0.70
2,216,8,96.00,20,0.70
2,216,8,135.50,25,0.70
2,216,8,150.50,30,0.70
2,216,8,217.00,35,0.70
2,217,9,0.00,0,0.50
2,217,9,30.10,10,0.50
2,217,9,56.30,15,0.50
2,217,9,63.30,20,0.50
2,217,9,93.60,25,0.50
2,217,9,107.00,30,0.50
2,217,9,169.70,35,0.50
2,218,10,0.00,0,0.50
2,218,10,38.10,10,0.50
2,218,10,52.30,15,0.50
2,218,10,95.50,20,0.50
2,218,10,115.40,25,0.50
2,218,10,161.40,30,0.50
2,218,10,181.60,35,0.50
2,219,11,0.00,0,0.30
2,219,11,33.30,10,0.30
2,219,11,66.20,15,0.30
2,219,11,83.80,20,0.30
2,219,11,169.50,25,0.30
2,219,11,199.20,30,0.30
2,219,11,336.00,35,0.30
2,220,12,0.00,0,0.30
2,220,12,23.00,10,0.30
2,220,12,53.40,15,0.30
2,220,12,136.50,20,0.30
2,220,12,149.70,25,0.30
2,220,12,254.00,30,0.30
2,220,12,242.00,35,0.30
2,221,1,0.00,0,1.30
2,221,1,51.50,10,1.30
2,221,1,84.80,15,1.30
2,221,1,85.00,20,1.30
2,221,1,118.60,25,1.30
2,221,1,133.80,30,1.30
2,221,1,206.00,35,1.30
2,222,3,0.00,0,1.10
2,222,3,31.40,10,1.10
2,222,3,55.50,15,1.10
2,222,3,70.00,20,1.10
2,222,3,94.10,25,1.10
2,222,3,107.80,30,1.10
2,222,3,209.00,35,1.10
2,223,4,0.00,0,1.10
2,223,4,77.90,10,1.10
2,223,4,95.50,15,1.10
2,223,4,122.60,20,1.10
2,223,4,158.40,25,1.10
2,224,5,0.00,0,0.90
2,224,5,64.90,10,0.90
2,224,5,94.20,15,0.90
2,224,5,136.70,20,0.90
2,224,5,171.50,25,0.90
2,224,5,172.60,30,0.90
2,224,5,246.00,35,0.90
2,225,6,0.00,0,0.90
2,225,6,36.90,10,0.90
2,225,6,74.60,15,0.90
2,225,6,93.40,20,0.90
2,225,6,119.80,25,0.90
2,225,6,181.40,30,0.90
2,225,6,211.00,35,0.90
2,226,7,0.00,0,0.70
2,226,7,20.40,10,0.70
2,226,7,60.50,15,0.70
2,226,7,91.10,20,0.70
2,226,7,129.50,25,0.70
2,226,7,170.00,30,0.70
2,226,7,251.00,35,0.70
2,227,8,0.00,0,0.70
2,227,8,25.60,10,0.70
2,227,8,58.90,15,0.70
2,227,8,97.20,20,0.70
2,227,8,125.70,25,0.70
2,227,8,156.80,30,0.70
2,227,8,178.40,35,0.70
2,228,9,0.00,0,0.50
2,228,9,30.40,10,0.50
2,228,9,49.20,15,0.50
2,228,9,66.50,20,0.50
2,228,9,85.30,25,0.50
2,228,9,107.50,30,0.50
2,228,9,155.00,35,0.50
2,229,10,0.00,0,0.50
2,229,10,36.10,10,0.50
2,229,10,51.80,15,0.50
2,229,10,92.80,20,0.50
2,229,10,108.00,25,0.50
2,229,10,172.20,30,0.50
2,229,10,173.90,35,0.50
2,230,11,0.00,0,0.30
2,230,11,39.80,10,0.30
2,230,11,65.60,15,0.30
2,230,11,82.10,20,0.30
2,230,11,185.20,25,0.30
2,230,11,160.60,30,0.30
2,230,11,239.00,35,0.30
2,231,12,0.00,0,0.30
2,231,12,29.80,10,0.30
2,231,12,63.10,15,0.30
2,231,12,109.50,20,0.30
2,231,12,153.60,25,0.30
2,231,12,241.00,30,0.30
2,231,12,233.00,35,0.30
