parede_n,Amostra,Quadrante,Valor,D_m,Altura
1,29,5,70,15,0.90
1,29,5,121,20,0.90
1,29,5,244,25,0.90
1,29,5,420,30,0.90
1,29,5,514,35,0.90
1,30,6,0,0,0.90
1,30,6,41,10,0.90
1,30,6,79,15,0.90
1,30,6,116,20,0.90
1,30,6,186,25,0.90
1,30,6,238,30,0.90
1,30,6,361,35,0.90
1,31,7,0,0,0.70
1,31,7,55,10,0.70
1,31,7,83,15,0.70
1,31,7,111,20,0.70
1,31,7,145,25,0.70
1,31,7,187,30,0.70
1,31,7,260,35,0.70
1,32,8,0,0,0.70
1,32,8,55,10,0.70
1,32,8,78,15,0.70
1,32,8,134,20,0.70
1,32,8,147,25,0.70
1,32,8,194,30,0.70
1,32,8,284,35,0.70
1,33,9,0,0,0.50
1,33,9,36,10,0.50
1,33,9,75,15,0.50
1,33,9,99,20,0.50
1,33,9,152,25,0.50
1,33,9,198,30,0.50
1,33,9,220,35,0.50
1,34,10,0,0,0.50
1,34,10,45,10,0.50
1,34,10,71,15,0.50
1,34,10,135,20,0.50
1,34,10,153,25,0.50
1,34,10,160,30,0.50
1,34,10,201,35,0.50
1,35,11,0,0,0.30
1,35,11,46,10,0.30
1,35,11,77,15,0.30
1,35,11,107,20,0.30
1,35,11,123,25,0.30
1,35,11,134,30,0.30
1,35,11,145,35,0.30
1,36,12,0,0,0.30
1,36,12,27,10,0.30
1,36,12,63,15,0.30
1,36,12,82,20,0.30
1,36,12,96,25,0.30
1,36,12,176,30,0.30
1,36,12,230,35,0.30
1,37,1,0,0,1.30
1,37,1,33,10,1.30
1,37,1,89,15,1.30
1,37,1,102,20,1.30
1,37,1,171,25,1.30
1,37,1,210,30,1.30
1,37,1,445,35,1.30
1,38,2,0,0,1.30
1,38,2,37,10,1.30
1,38,2,67,15,1.30
1,38,2,145,20,1.30
1,38,2,214,25,1.30
1,38,2,378,30,1.30
1,38,2,767,35,1.30
1,39,3,0,0,1.10
1,39,3,38,10,1.10
1,39,3,45,15,1.10
1,39,3,91,20,1.10
1,39,3,126,25,1.10
1,39,3,208,30,1.10
1,39,3,267,35,1.10
1,40,4,0,0,1.10
1,40,4,41,10,1.10
1,40,4,66,15,1.10
1,40,4,110,20,1.10
1,40,4,153,25,1.10
1,40,4,158,30,1.10
1,40,4,454,35,1.10
1,41,5,0,0,0.90
1,41,5,37,10,0.90
1,41,5,71,15,0.90
1,41,5,174,20,0.90
1,41,5,272,25,0.90
1,41,5,607,30,0.90
1,41,5,766,35,0.90
1,42,6,0,0,0.90
1,42,6,40,10,0.90
1,42,6,78,15,0.90
1,42,6,109,20,0.90
1,42,6,124,25,0.90
1,42,6,172,30,0.90
1,42,6,286,35,0.90
1,43,7,0,0,0.70
1,43,7,59,10,0.70
1,43,7,80,15,0.70
1,43,7,96,20,0.70
1,43,7,139,25,0.70
1,43,7,150,30,0.70
1,43,7,260,35,0.70
1,44,8,0,0,0.70
1,44,8,47,10,0.70
1,44,8,79,15,0.70
1,44,8,98,20,0.70
1,44,8,135,25,0.70
1,44,8,170,30,0.70
1,44,8,236,35,0.70
1,45,9,0,0,0.50
1,45,9,44,10,0.50
1,45,9,67,15,0.50
1,45,9,99,20,0.50
1,45,9,166,25,0.50
1,45,9,168,30,0.50
1,45,9,294,35,0.50
1,46,10,0,0,0.50
1,46,10,37,10,0.50
1,46,10,66,15,0.50
1,46,10,108,20,0.50
1,46,10,148,25,0.50
1,46,10,196,30,0.50
1,46,10,212,35,0.50
1,47,11,0,0,0.30
1,47,11,28,10,0.30
1,47,11,48,15,0.30
1,47,11,79,20,0.30
1,47,11,109,25,0.30
1,47,11,131,30,0.30
1,47,11,167,35,0.30
1,48,12,0,0,0.30
1,48,12,40,10,0.30
1,48,12,61,15,0.30
1,48,12,100,20,0.30
1,48,12,157,25,0.30
1,48,12,187,30,0.30
1,48,12,236,35,0.30
1,49,1,0,0,1.30
1,49,1,32,10,1.30
1,49,1,100,15,1.30
1,49,1,98,20,1.30
1,49,1,181,25,1.30
1,49,1,210,30,1.30
1,49,1,395,35,1.30
1,50,2,0,0,1.30
1,50,2,37,10,1.30
1,50,2,104,15,1.30
1,50,2,148,20,1.30
1,50,2,213,25,1.30
1,50,2,340,30,1.30
1,50,2,706,35,1.30
1,51,3,0,0,1.10
1,51,3,37,10,1.10
1,51,3,45,15,1.10
1,51,3,91,20,1.10
1,51,3,123,25,1.10
1,51,3,156,30,1.10
1,51,3,231,35,1.10
1,52,4,0,0,1.10
1,52,4,41,10,1.10
1,52,4,79,15,1.10
1,52,4,146,20,1.10
1,52,4,172,25,1.10
1,52,4,206,30,1.10
1,52,4,272,35,1.10
1,53,5,0,0,0.90
1,53,5,36,10,0.90
1,53,5,72,15,0.90
1,53,5,163,20,0.90
1,53,5,219,25,0.90
1,53,5,558,30,0.90
1,53,5,731,35,0.90
1,54,6,0,0,0.90
1,54,6,39,10,0.90
1,54,6,63,15,0.90
1,54,6,102,20,0.90
1,54,6,184,25,0.90
1,54,6,238,30,0.90
1,54,6,394,35,0.90
1,55,7,0,0,0.70
1,55,7,51,10,0.70
1,55,7,70,15,0.70
1,55,7,97,20,0.70
1,55,7,149,25,0.70
1,55,7,159,30,0.70
1,55,7,245,35,0.70
1,56,8,0,0,0.70
1,56,8,42,10,0.70
1,56,8,78,15,0.70
1,56,8,116,20,0.70
1,56,8,129,25,0.70
1,56,8,162,30,0.70
1,56,8,181,35,0.70
1,57,9,0,0,0.50
1,57,9,35,10,0.50
1,57,9,68,15,0.50
1,57,9,83,20,0.50
1,57,9,151,25,0.50
1,57,9,159,30,0.50
1,57,9,212,35,0.50
1,58,10,0,0,0.50
1,58,10,33,10,0.50
1,58,10,61,15,0.50
1,58,10,134,20,0.50
1,58,10,154,25,0.50
1,58,10,161,30,0.50
1,58,10,190,35,0.50
1,59,11,0,0,0.30
1,59,11,34,10,0.30
1,59,11,55,15,0.30
1,59,11,115,20,0.30
1,59,11,123,25,0.30
1,59,11,157,30,0.30
1,59,11,209,35,0.30
1,60,12,0,0,0.30
1,60,12,41,10,0.30
1,60,12,68,15,0.30
1,60,12,90,20,0.30
1,60,12,169,25,0.30
1,60,12,189,30,0.30
1,60,12,247,35,0.30
1,61,1,0,0,1.30
1,61,1,33,10,1.30
1,61,1,80,15,1.30
1,61,1,106,20,1.30
1,61,1,171,25,1.30
1,61,1,210,30,1.30
1,61,1,452,35,1.30
1,62,2,0,0,1.30
1,62,2,37,10,1.30
1,62,2,98,15,1.30
1,62,2,149,20,1.30
1,62,2,251,25,1.30
1,62,2,348,30,1.30
1,62,2,725,35,1.30
1,63,3,0,0,1.10
1,63,3,34,10,1.10
1,63,3,46,15,1.10
1,63,3,93,20,1.10
1,63,3,126,25,1.10
1,63,3,156,30,1.10
1,63,3,370,35,1.10
1,64,4,0,0,1.10
1,64,4,37,10,1.10
1,64,4,66,15,1.10
1,64,4,94,20,1.10
1,64,4,125,25,1.10
1,64,4,156,30,1.10
1,64,4,250,35,1.10
1,65,5,0,0,0.90
1,65,5,36,10,0.90
1,65,5,71,15,0.90
1,65,5,217,20,0.90
1,65,5,257,25,0.90
1,65,5,415,30,0.90
1,65,5,615,35,0.90
1,66,6,0,0,0.90
1,66,6,38,10,0.90
1,66,6,62,15,0.90
1,66,6,115,20,0.90
1,66,6,155,25,0.90
1,66,6,238,30,0.90
1,66,6,421,35,0.90
1,67,7,0,0,0.70
1,67,7,53,10,0.70
1,67,7,86,15,0.70
1,67,7,95,20,0.70
1,67,7,127,25,0.70
1,67,7,149,30,0.70
1,67,7,209,35,0.70
1,68,8,0,0,0.70
1,68,8,44,10,0.70
1,68,8,78,15,0.70
1,68,8,103,20,0.70
1,68,8,124,25,0.70
1,68,8,142,30,0.70
1,68,8,213,35,0.70
1,69,9,0,0,0.50
1,69,9,36,10,0.50
1,69,9,68,15,0.50
